Name of organization,Type of business,AMF_ Types of machine,AMF_ Maximum number of tools available,AMF_ Maximum number of operation available,AMF_ Tool magazine or tool turret capacity,AMF_ Tool changing time,AMF_ Type of operations to be done on machine,AMF_ Variety of parts to be handled by the machine,AMF_ Skills and versatility of workers,AMF_ Setup or changeover time
Relaible Bitumen,Manufacturer of Bitumen drums,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0
Ashok Leyland Ltd,Automobile,5.0,4.0,5.0,5.0,4.0,3.0,4.0,5.0,4.0
Super Circle India Pvt. Ltd.,Manufacturer of Vehicle Parts,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0
Mita India Pvt. Ltd.,Manufaturer Of Tractor Parts,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0
Bajaj Auto Ltd.,Automobile Ancilliaries,5.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0
JP Machine Tools,Engineering,4.0,5.0,5.0,4.0,5.0,3.0,4.0,4.0,5.0
GEIIPL,Engineering,4.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,3.0
Axles Automotive ,Engineering,5.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0
Micromag Engineering ,Engineering,5.0,4.0,3.0,5.0,4.0,4.0,4.0,5.0,4.0
Hegdge Precision ,Engineering,5.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0
Cummins svamSale and Services Ltd.,Diseal engine Manufacturer,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0
BOSCH Limited,Auotmobile,4.0,5.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0
Siemens,Auotmobile,4.0,5.0,4.0,4.0,3.0,3.0,5.0,4.0,5.0
BEML,Heavy Mechianical Machinary,5.0,4.0,5.0,4.0,3.0,4.0,5.0,4.0,4.0
Tata Hitachi Construction Machinery,Machine manufacturer,4.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0
Eicher Motor Ltd.,Automobile,5.0,3.0,4.0,5.0,4.0,5.0,5.0,3.0,4.0
Piaggio,Auotmobile,5.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,3.0
Escorts Construction Equipment,Auto Ancilliary,4.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,5.0
Tata Engineering,Auotmobile,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0
Greaves Cotton Ltd.,Auotmobile,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0
Lumax D K Auto Industries,Plastic and Automobiles Parts,4.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0
Force Motors Ltd,Automobile Manufactures,3.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,3.0
Delphi TVS,Auto Parts Manufecturer,4.0,4.0,4.0,5.0,5.0,4.0,3.0,3.0,4.0
Minda Group,"Automotive,Electronic,Casting ETC",4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0
Bhushan Steel,Mfg of GI Coils,5.0,5.0,5.0,4.0,4.0,3.0,5.0,5.0,4.0
Escorts,Agri machinery,4.0,4.0,5.0,5.0,3.0,4.0,3.0,3.0,4.0
Sadhu Forging Ltd,Engine Gear & Different Vehicle Gear Mfg,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0
Mitsubishi Heavy Industries India Pvt Ltd,,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0
Jay Kay Industries,Electronic auto Componants,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0
Puralator India Ltd,Filter & Auto Parts Manufacturer,5.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0
Anand Group India,automotive Parts,5.0,5.0,4.0,3.0,5.0,5.0,4.0,4.0,5.0
Tracolate Industries,Panel Box Manufacturer,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0
Milstone Switch Gear Pvt.Ltd,Switch gear manufacturer,3.0,4.0,3.0,5.0,4.0,4.0,5.0,5.0,4.0
JCB ,Heavy Vehicle,4.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0
sunvisor India Pvt.Ltd,Parts of connecting Road For maruti ,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,5.0
Steel Authority of india pvt ltd,,4.0,5.0,4.0,5.0,5.0,5.0,3.0,5.0,5.0
paramount Engeniring,Auto Parts Manufecturer,4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0
Munjal auto Componants,Auto Componants,5.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0
Ask Automotives,Break Shoe Disc part,4.0,5.0,5.0,5.0,3.0,5.0,4.0,4.0,4.0
Hyco Enterprises pvt Ltd,MFR Auto Parts,3.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0
Adi Automotive Pvt Ltd,Auto Parts Manufecturer,5.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0
LPS Boassard,Mechanical Parts,4.0,4.0,5.0,5.0,5.0,3.0,3.0,5.0,4.0
Maruti Suzuki,Maruti automobile manufacturer,5.0,5.0,4.0,3.0,5.0,5.0,4.0,5.0,5.0
Huyndai,Manufacturing vechile ,4.0,4.0,4.0,5.0,3.0,3.0,3.0,4.0,4.0
Mahindra and Mahindra,Automobile Manufacturing,5.0,5.0,5.0,3.0,3.0,4.0,5.0,5.0,4.0
Track Components,CNC turned & CNC milled component,4.0,5.0,5.0,4.0,4.0,3.0,5.0,3.0,5.0
Esvee prescision L.T.D,Auto parts,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0
Gusunanak machine pvt ltd,auto parts,4.0,4.0,3.0,3.0,5.0,4.0,4.0,4.0,3.0
kunal auto pvt ltd ,Auto parts,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0
plaster polymers,auto components,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0
j.k spring pvt ltd ,spring,4.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0
jakey industries,Auto parts,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0
strok auto pvt.ltd,Auto parts,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0
sunbeam auto ltd,Auto parts,3.0,3.0,4.0,3.0,4.0,5.0,4.0,3.0,5.0
ranee polymers pvt ltd ,Auto parts,4.0,4.0,4.0,5.0,4.0,3.0,4.0,5.0,4.0
premium moulding and prassing pvt ltd ,die moulding and auto mobile component,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0
Hero Motors Ltd,Motor Cfycle Manufacturer,4.0,4.0,3.0,4.0,4.0,3.0,4.0,5.0,4.0
Musashi Auto Parts Pvt Ltd,Auto Parts Manufacturing,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0
Frontier Techno Pvt :Ltd,Cable Hoints Kits Manufacturer,4.0,4.0,5.0,3.0,4.0,4.0,4.0,5.0,5.0
G.S.Lighting Pvt Ltd,Lighting Products Manufacturer,5.0,5.0,5.0,3.0,4.0,3.0,4.0,3.0,3.0
Subros Ltd,Auto Parts Manufacturing,5.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0
Anand Motor Products Pvt Ltd,Auto Parts Manufacturing,4.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,4.0
