Name of organization,Type of business,APF_ Design changes required in the product,APF_ Variety of products,APF_ Offline part programming preparation facility,APF_ Number of existing part families matching the new product design,APF_ Machine flexibility
Relaible Bitumen,Manufacturer of Bitumen drums,4.0,5.0,4.0,5.0,4.0
Ashok Leyland Ltd,Automobile,4.0,5.0,4.0,3.0,5.0
Super Circle India Pvt. Ltd.,Manufacturer of Vehicle Parts,4.0,5.0,5.0,5.0,4.0
Mita India Pvt. Ltd.,Manufaturer Of Tractor Parts,4.0,5.0,4.0,5.0,4.0
Bajaj Auto Ltd.,Automobile Ancilliaries,5.0,4.0,4.0,5.0,3.0
JP Machine Tools,Engineering,5.0,4.0,5.0,5.0,5.0
GEIIPL,Engineering,5.0,4.0,3.0,5.0,4.0
Axles Automotive ,Engineering,3.0,3.0,4.0,3.0,4.0
Micromag Engineering ,Engineering,4.0,4.0,5.0,5.0,4.0
Hegdge Precision ,Engineering,3.0,4.0,5.0,4.0,5.0
Cummins svamSale and Services Ltd.,Diseal engine Manufacturer,4.0,5.0,4.0,5.0,4.0
BOSCH Limited,Auotmobile,4.0,5.0,5.0,4.0,5.0
Siemens,Auotmobile,4.0,5.0,5.0,5.0,4.0
BEML,Heavy Mechianical Machinary,4.0,5.0,4.0,4.0,3.0
Tata Hitachi Construction Machinery,Machine manufacturer,5.0,3.0,3.0,4.0,5.0
Eicher Motor Ltd.,Automobile,4.0,5.0,4.0,5.0,4.0
Piaggio,Auotmobile,4.0,5.0,4.0,5.0,5.0
Escorts Construction Equipment,Auto Ancilliary,5.0,4.0,5.0,4.0,5.0
Tata Engineering,Auotmobile,4.0,5.0,4.0,4.0,5.0
Greaves Cotton Ltd.,Auotmobile,5.0,5.0,4.0,4.0,5.0
Lumax D K Auto Industries,Plastic and Automobiles Parts,4.0,4.0,5.0,5.0,5.0
Force Motors Ltd,Automobile Manufactures,4.0,4.0,4.0,5.0,5.0
Delphi TVS,Auto Parts Manufecturer,3.0,3.0,4.0,5.0,5.0
Minda Group,"Automotive,Electronic,Casting ETC",4.0,4.0,5.0,5.0,4.0
Bhushan Steel,Mfg of GI Coils,5.0,5.0,5.0,4.0,3.0
Escorts,Agri machinery,3.0,4.0,4.0,3.0,5.0
Sadhu Forging Ltd,Engine Gear & Different Vehicle Gear Mfg,3.0,4.0,5.0,4.0,5.0
Mitsubishi Heavy Industries India Pvt Ltd,,4.0,4.0,5.0,5.0,4.0
Jay Kay Industries,Electronic auto Componants,4.0,4.0,5.0,4.0,3.0
